session,subject,x_coord_original,y_coord_original,x_coord_aligned,y_coord_aligned,x_coord_difference,y_coord_difference,x_coord_corrected,y_coord_corrected,type
1,3,449,186,451,186,-2,0,449,186,cold
1,3,502,189,502,190,0,-1,502,189,cold
1,3,560,195,561,197,-1,-2,560,195,inconsistent
1,3,581,219,581,219,0,0,581,219,inconsistent
1,3,584,204,584,205,0,-1,584,204,cold
1,3,847,265,848,264,-1,1,847,265,cold
1,3,861,233,862,231,-1,2,861,233,inconsistent
1,3,904,260,903,261,1,-1,904,260,cold
2,3,432,207,444,211,-12,-4,432,207,cold
2,3,437,251,449,253,-12,-2,437,251,warm
2,3,452,226,464,229,-12,-3,452,226,inconsistent
2,3,525,212,538,213,-13,-1,525,212,warm
2,3,545,228,557,229,-12,-1,545,228,inconsistent
2,3,561,284,571,286,-10,-2,561,284,inconsistent
2,3,611,231,621,232,-10,-1,611,231,inconsistent
2,3,879,203,890,205,-11,-2,879,203,inconsistent
2,3,911,236,919,238,-8,-2,911,236,inconsistent
2,3,930,240,939,240,-9,0,930,240,both
3,3,287,177,296,182,-9,-5,287,177,cold
3,3,314,135,321,143,-7,-8,314,135,inconsistent
3,3,341,218,350,222,-9,-4,341,218,warm
3,3,359,171,366,177,-7,-6,359,171,cold
3,3,442,179,448,180,-6,-1,442,179,warm
3,3,451,148,458,152,-7,-4,451,148,cold
3,3,520,206,525,212,-5,-6,520,206,cold
3,3,530,235,534,238,-4,-3,530,235,cold
3,3,557,242,561,244,-4,-2,557,242,warm
3,3,565,228,569,231,-4,-3,565,228,cold
3,3,659,215,662,218,-3,-3,659,215,warm
3,3,664,264,666,268,-2,-4,664,264,inconsistent
3,3,673,231,676,233,-3,-2,673,231,warm
3,3,685,264,687,267,-2,-3,685,264,inconsistent
3,3,695,213,697,216,-2,-3,695,213,warm
3,3,860,217,862,219,-2,-2,860,217,cold
3,3,883,193,885,195,-2,-2,883,193,cold
3,3,948,194,947,195,1,-1,948,194,warm
3,3,956,212,955,212,1,0,956,212,cold
3,3,973,257,972,260,1,-3,973,257,warm
3,3,975,232,974,234,1,-2,975,232,inconsistent
3,3,1004,206,1005,207,-1,-1,1004,206,inconsistent
3,3,1011,230,1012,230,-1,0,1011,230,cold
3,3,1029,244,1026,244,3,0,1029,244,warm
4,3,572,238,573,248,-1,-10,572,238,cold
4,3,608,239,609,248,-1,-9,608,239,inconsistent
4,3,628,201,627,209,1,-8,628,201,inconsistent
4,3,852,219,850,227,2,-8,852,219,cold
4,3,878,239,876,245,2,-6,878,239,inconsistent
4,3,919,246,921,252,-2,-6,919,246,cold
4,3,943,217,944,222,-1,-5,943,217,cold
4,3,960,210,959,216,1,-6,960,210,cold
4,3,972,218,971,224,1,-6,972,218,cold
1,4,573,201,576,208,-3,-7,573,201,inconsistent
1,4,728,173,731,180,-3,-7,728,173,warm
1,4,755,205,760,214,-5,-9,755,205,warm
1,4,783,203,785,212,-2,-9,783,203,both
1,4,792,176,794,183,-2,-7,792,176,inconsistent
1,4,833,192,835,201,-2,-9,833,192,both
2,4,151,137,155,158,-4,-21,151,137,inconsistent
2,4,673,186,667,190,6,-4,673,186,inconsistent
2,4,692,203,685,205,7,-2,692,203,cold
2,4,748,194,741,196,7,-2,748,194,inconsistent
2,4,754,247,747,248,7,-1,754,247,cold
2,4,798,197,791,197,7,0,798,197,inconsistent
2,4,807,182,799,181,8,1,807,182,inconsistent
3,4,144,158,153,175,-9,-17,144,158,inconsistent
3,4,191,233,202,245,-11,-12,191,233,inconsistent
3,4,262,170,270,184,-8,-14,262,170,cold
3,4,336,216,344,225,-8,-9,336,216,cold
3,4,358,201,365,212,-7,-11,358,201,inconsistent
3,4,364,273,373,280,-9,-7,364,273,cold
3,4,411,253,420,259,-9,-6,411,253,cold
3,4,432,278,442,284,-10,-6,432,278,inconsistent
3,4,527,149,533,155,-6,-6,527,149,warm
3,4,575,169,581,174,-6,-5,575,169,cold
3,4,615,166,618,168,-3,-2,615,166,both
3,4,665,167,670,168,-5,-1,665,167,inconsistent
3,4,677,156,681,159,-4,-3,677,156,inconsistent
3,4,719,192,723,191,-4,1,719,192,incongruous
3,4,742,179,744,179,-2,0,742,179,inconsistent
3,4,791,163,795,161,-4,2,791,163,inconsistent
3,4,819,221,822,218,-3,3,819,221,inconsistent
3,4,830,205,833,204,-3,1,830,205,inconsistent
4,4,709,236,711,246,-2,-10,709,236,cold
4,4,749,229,753,239,-4,-10,749,229,inconsistent
4,4,766,179,770,190,-4,-11,766,179,warm
4,4,819,213,822,222,-3,-9,819,213,inconsistent
1,6,252,193,256,196,-4,-3,252,193,cold
1,6,284,241,289,243,-5,-2,284,241,cold
1,6,436,267,438,269,-2,-2,436,267,cold
1,6,455,159,459,163,-4,-4,455,159,inconsistent
1,6,461,254,465,257,-4,-3,461,254,inconsistent
1,6,483,241,487,245,-4,-4,483,241,inconsistent
1,6,497,170,501,176,-4,-6,497,170,inconsistent
1,6,800,239,801,242,-1,-3,800,239,inconsistent
1,6,810,239,810,241,0,-2,810,239,inconsistent
3,6,269,142,311,153,-42,-11,269,142,inconsistent
3,6,271,130,313,143,-42,-13,271,130,inconsistent
3,6,731,206,790,215,-59,-9,731,206,inconsistent
3,6,781,215,843,224,-62,-9,781,215,inconsistent
3,6,790,194,853,204,-63,-10,790,194,cold
4,6,317,274,318,269,-1,5,317,274,inconsistent
4,6,376,270,375,264,1,6,376,270,cold
4,6,500,207,499,207,1,0,500,207,inconsistent
4,6,507,238,507,236,0,2,507,238,inconsistent
1,7,299,203,316,236,-17,-33,299,203,incongruous
1,7,318,186,336,221,-18,-35,318,186,inconsistent
1,7,331,128,348,164,-17,-36,331,128,inconsistent
1,7,338,148,355,183,-17,-35,338,148,cold
1,7,375,108,390,144,-15,-36,375,108,cold
1,7,411,104,425,141,-14,-37,411,104,cold
1,7,415,133,430,169,-15,-36,415,133,warm
1,7,452,120,467,156,-15,-36,452,120,incongruous
1,7,478,111,492,149,-14,-38,478,111,inconsistent
1,7,502,124,516,162,-14,-38,502,124,cold
1,7,540,176,554,211,-14,-35,540,176,cold
1,7,556,142,568,178,-12,-36,556,142,inconsistent
1,7,592,107,603,143,-11,-36,592,107,inconsistent
1,7,607,127,619,163,-12,-36,607,127,inconsistent
1,7,640,119,650,156,-10,-37,640,119,inconsistent
1,7,706,145,715,180,-9,-35,706,145,inconsistent
1,7,711,102,719,139,-8,-37,711,102,cold
1,7,738,183,746,218,-8,-35,738,183,incongruous
1,7,765,118,772,152,-7,-34,765,118,warm
1,7,810,181,815,216,-5,-35,810,181,warm
1,7,842,179,848,214,-6,-35,842,179,both
1,7,861,179,867,214,-6,-35,861,179,inconsistent
1,7,887,101,893,139,-6,-38,887,101,cold
1,7,891,137,897,171,-6,-34,891,137,inconsistent
1,7,894,170,900,205,-6,-35,894,170,inconsistent
1,7,907,102,912,138,-5,-36,907,102,incongruous
1,7,929,170,933,206,-4,-36,929,170,warm
1,7,935,121,938,157,-3,-36,935,121,inconsistent
2,7,187,105,186,171,1,-66,187,105,cold
2,7,210,80,208,146,2,-66,210,80,cold
2,7,223,123,219,185,4,-62,223,123,warm
2,7,237,86,233,151,4,-65,237,86,warm
2,7,295,105,288,163,7,-58,295,105,inconsistent
2,7,334,196,321,243,13,-47,334,196,cold
2,7,336,102,329,159,7,-57,336,102,both
2,7,366,215,351,259,15,-44,366,215,cold
2,7,368,179,355,227,13,-48,368,179,inconsistent
2,7,395,204,381,248,14,-44,395,204,cold
2,7,641,141,619,176,22,-35,641,141,both
2,7,649,164,627,198,22,-34,649,164,both
2,7,686,151,664,182,22,-31,686,151,both
2,7,690,202,665,229,25,-27,690,202,both
2,7,710,191,685,219,25,-28,710,191,cold
2,7,721,164,697,191,24,-27,721,164,inconsistent
2,7,730,189,705,214,25,-25,730,189,inconsistent
2,7,741,173,717,200,24,-27,741,173,inconsistent
2,7,772,216,742,236,30,-20,772,216,cold
2,7,819,203,790,222,29,-19,819,203,both
2,7,823,223,793,241,30,-18,823,223,cold
2,7,895,214,864,229,31,-15,895,214,both
2,7,914,194,884,208,30,-14,914,194,cold
2,7,915,111,885,134,30,-23,915,111,cold
2,7,923,95,894,115,29,-20,923,95,inconsistent
2,7,930,111,901,130,29,-19,930,111,inconsistent
2,7,941,177,907,190,34,-13,941,177,inconsistent
2,7,961,103,930,123,31,-20,961,103,cold
2,7,967,135,934,150,33,-15,967,135,both
3,7,764,180,765,183,-1,-3,764,180,inconsistent
3,7,779,160,776,163,3,-3,779,160,inconsistent
3,7,899,167,894,157,5,10,899,167,incongruous
3,7,928,158,922,148,6,10,928,158,cold
3,7,929,190,922,177,7,13,929,190,inconsistent
3,7,933,230,925,214,8,16,933,230,inconsistent
3,7,951,151,944,141,7,10,951,151,inconsistent
3,7,963,172,954,157,9,15,963,172,inconsistent
4,7,190,97,188,140,2,-43,190,97,cold
4,7,215,145,212,185,3,-40,215,145,inconsistent
4,7,264,97,261,143,3,-46,264,97,cold
4,7,297,58,297,111,0,-53,297,58,both
4,7,303,117,302,165,1,-48,303,117,inconsistent
4,7,327,82,324,132,3,-50,327,82,cold
4,7,334,116,332,169,2,-53,334,116,inconsistent
4,7,362,104,359,160,3,-56,362,104,inconsistent
4,7,385,118,381,174,4,-56,385,118,both
4,7,397,163,394,217,3,-54,397,163,both
